
@RELATION joint

@ATTRIBUTE attr_0           STRING
@ATTRIBUTE attr_1           STRING
@ATTRIBUTE attr_2           STRING
@ATTRIBUTE attr_3           STRING
@ATTRIBUTE attr_4           STRING
@ATTRIBUTE attr_5           STRING
@ATTRIBUTE attr_6           STRING
@ATTRIBUTE attr_7           STRING
@ATTRIBUTE endswith         STRING
@ATTRIBUTE firstword        STRING
@ATTRIBUTE lastword         STRING
@ATTRIBUTE length           NUMERIC
@ATTRIBUTE nextisverb       STRING
@ATTRIBUTE nextlength       NUMERIC
@ATTRIBUTE nextstartswith   STRING
@ATTRIBUTE nextword         STRING
@ATTRIBUTE word             STRING
@ATTRIBUTE wordsafter       NUMERIC
@ATTRIBUTE wordsafterperc   NUMERIC
@ATTRIBUTE wordsbefore      NUMERIC
@ATTRIBUTE wordsbeforeperc  NUMERIC

@ATTRIBUTE class        {0,1,2,3,4}

@DATA
N,P,0,0,0,0,0,0,C,True,False,7,False,2,C,se,Álvarez,7,0.875,0,0.0,4
P,0,0,0,0,0,0,0,V,False,False,2,True,5,C,había,se,6,0.75,1,0.125,1
V,A,I,I,1,S,0,0,V,False,False,5,True,7,V,animado,había,5,0.625,2,0.25,1
V,M,P,0,0,S,M,0,V,False,False,7,False,1,V,a,animado,4,0.5,3,0.375,3
S,P,S,0,0,0,0,0,V,False,False,1,True,8,C,contarle,a,3,0.375,4,0.5,1
V,M,N,0,0,0,0,0,V,False,False,8,False,2,V,un,contarle,2,0.25,5,0.625,1
D,I,0,M,S,0,0,0,C,False,False,2,False,6,C,chiste,un,1,0.125,6,0.75,2
N,C,M,S,0,0,0,0,V,False,True,6,False,0,N,1r03r03032,chiste,0,0.0,7,0.875,4
V,M,I,S,3,S,0,0,C,True,False,4,False,2,C,la,Alzó,7,0.875,0,0.0,1
D,A,0,F,S,0,0,0,V,False,False,2,False,3,C,voz,la,6,0.75,1,0.125,1
N,C,F,S,0,0,0,0,C,False,False,3,False,4,C,para,voz,5,0.625,2,0.25,3
S,P,S,0,0,0,0,0,V,False,False,4,True,9,V,ahuyentar,para,4,0.5,3,0.375,1
V,M,N,0,0,0,0,0,C,False,False,9,False,1,V,a,ahuyentar,3,0.375,4,0.5,1
S,P,S,0,0,0,0,0,V,False,False,1,False,3,C,los,a,2,0.25,5,0.625,1
D,A,0,M,P,0,0,0,C,False,False,3,False,6,C,perros,los,1,0.125,6,0.75,2
N,C,M,P,0,0,0,0,C,False,True,6,False,0,N,1r03r03032,perros,0,0.0,7,0.875,4
R,G,0,0,0,0,0,0,C,True,False,4,False,2,V,el,Ayer,5,0.833333333333,0,0.0,0
D,A,0,M,S,0,0,0,C,False,False,2,False,7,C,general,el,4,0.666666666667,1,0.166666666667,1
A,Q,0,C,S,0,0,0,C,False,False,7,True,7,C,cumplió,general,3,0.5,2,0.333333333333,4
V,M,I,S,3,S,0,0,C,False,False,7,False,7,V,ochenta,cumplió,2,0.333333333333,3,0.5,1
Z,0,0,0,0,0,0,0,V,False,False,7,False,4,V,años,ochenta,1,0.166666666667,4,0.666666666667,0
N,C,M,P,0,0,0,0,C,False,True,4,False,0,N,1r03r03032,años,0,0.0,5,0.833333333333,4
R,G,0,0,0,0,0,0,C,True,False,4,True,3,C,leí,Ayer,12,0.923076923077,0,0.0,2
V,M,I,S,1,S,0,0,C,False,False,3,False,2,C,la,leí,11,0.846153846154,1,0.0769230769231,0
D,A,0,F,S,0,0,0,V,False,False,2,False,6,C,novela,la,10,0.769230769231,2,0.153846153846,0
N,C,F,S,0,0,0,0,V,False,False,6,False,2,V,en,novela,9,0.692307692308,3,0.230769230769,1
S,P,S,0,0,0,0,0,C,False,False,2,False,2,V,el,en,8,0.615384615385,4,0.307692307692,0
D,A,0,M,S,0,0,0,C,False,False,2,False,5,C,patio,el,7,0.538461538462,5,0.384615384615,1
N,C,M,S,0,0,0,0,V,False,False,5,False,3,C,hoy,patio,6,0.461538461538,6,0.461538461538,4
R,G,0,0,0,0,0,0,C,False,False,3,False,2,C,lo,hoy,5,0.384615384615,7,0.538461538462,1
P,P,3,C,N,A,0,0,V,False,False,2,True,4,C,hice,lo,4,0.307692307692,8,0.615384615385,0
V,M,I,S,1,S,0,0,V,False,False,4,False,1,V,a,hice,3,0.230769230769,9,0.692307692308,0
S,P,S,0,0,0,0,0,V,False,False,1,False,5,C,pleno,a,2,0.153846153846,10,0.769230769231,1
A,Q,0,M,S,0,0,0,V,False,False,5,False,3,C,sol,pleno,1,0.0769230769231,11,0.846153846154,0
N,C,M,S,0,0,0,0,C,False,True,3,False,0,N,1r03r03032,sol,0,0.0,12,0.923076923077,4
S,P,S,0,0,0,0,0,C,True,False,1,True,5,C,decir,A,6,0.857142857143,0,0.0,0
V,M,N,0,0,0,0,0,C,False,False,5,False,6,C,verdad,decir,5,0.714285714286,1,0.142857142857,1
N,C,F,S,0,0,0,0,C,False,False,6,False,5,V,ellas,verdad,4,0.571428571429,2,0.285714285714,4
P,P,3,F,P,0,0,0,C,False,False,5,False,2,C,no,ellas,3,0.428571428571,3,0.428571428571,2
R,N,0,0,0,0,0,0,V,False,False,2,False,2,C,se,no,2,0.285714285714,4,0.571428571429,1
P,0,0,0,0,0,0,0,V,False,False,2,True,7,V,adaptan,se,1,0.142857142857,5,0.714285714286,0
V,M,I,P,3,P,0,0,C,False,True,7,False,0,N,1r03r03032,adaptan,0,0.0,6,0.857142857143,4
S,P,S,0,0,0,0,0,C,True,False,1,False,5,C,veces,A,7,0.875,0,0.0,1
N,C,F,P,0,0,0,0,C,False,False,5,False,3,C,los,veces,6,0.75,1,0.125,2
D,A,0,M,P,0,0,0,C,False,False,3,False,8,C,ladrones,los,5,0.625,2,0.25,1
N,C,M,P,0,0,0,0,C,False,False,8,False,2,C,se,ladrones,4,0.5,3,0.375,2
P,0,0,0,0,0,0,0,V,False,False,2,True,9,C,disfrazan,se,3,0.375,4,0.5,1
V,M,I,P,3,P,0,0,C,False,False,9,False,4,C,para,disfrazan,2,0.25,5,0.625,2
S,P,S,0,0,0,0,0,V,False,False,4,True,5,C,robar,para,1,0.125,6,0.75,1
