
@RELATION joint

@ATTRIBUTE attr_0           STRING
@ATTRIBUTE attr_1           STRING
@ATTRIBUTE attr_2           STRING
@ATTRIBUTE attr_3           STRING
@ATTRIBUTE attr_4           STRING
@ATTRIBUTE attr_5           STRING
@ATTRIBUTE attr_6           STRING
@ATTRIBUTE attr_7           STRING
@ATTRIBUTE firstword        {0,1}
@ATTRIBUTE lastword         {0,1}
@ATTRIBUTE word             string
@ATTRIBUTE wordsafter       NUMERIC
@ATTRIBUTE wordsafterperc   NUMERIC
@ATTRIBUTE wordsbefore      NUMERIC
@ATTRIBUTE wordsbeforeperc  NUMERIC

@ATTRIBUTE class        {0,1,2,3,4}

@DATA
N,P,0,0,0,0,0,0,1,0,Álvarez,7,0.875,0,0.0,4
P,0,0,0,0,0,0,0,0,0,se,6,0.75,1,0.125,1
V,A,I,I,1,S,0,0,0,0,había,5,0.625,2,0.25,1
V,M,P,0,0,S,M,0,0,0,animado,4,0.5,3,0.375,3
S,P,S,0,0,0,0,0,0,0,a,3,0.375,4,0.5,1
V,M,N,0,0,0,0,0,0,0,contarle,2,0.25,5,0.625,1
D,I,0,M,S,0,0,0,0,0,un,1,0.125,6,0.75,2
N,C,M,S,0,0,0,0,0,1,chiste,0,0.0,7,0.875,4
V,M,I,S,3,S,0,0,1,0,Alzó,7,0.875,0,0.0,1
D,A,0,F,S,0,0,0,0,0,la,6,0.75,1,0.125,1
N,C,F,S,0,0,0,0,0,0,voz,5,0.625,2,0.25,3
S,P,S,0,0,0,0,0,0,0,para,4,0.5,3,0.375,1
V,M,N,0,0,0,0,0,0,0,ahuyentar,3,0.375,4,0.5,1
S,P,S,0,0,0,0,0,0,0,a,2,0.25,5,0.625,1
D,A,0,M,P,0,0,0,0,0,los,1,0.125,6,0.75,2
N,C,M,P,0,0,0,0,0,1,perros,0,0.0,7,0.875,4
R,G,0,0,0,0,0,0,1,0,Ayer,5,0.833333333333,0,0.0,0
D,A,0,M,S,0,0,0,0,0,el,4,0.666666666667,1,0.166666666667,1
A,Q,0,C,S,0,0,0,0,0,general,3,0.5,2,0.333333333333,4
V,M,I,S,3,S,0,0,0,0,cumplió,2,0.333333333333,3,0.5,1
Z,0,0,0,0,0,0,0,0,0,ochenta,1,0.166666666667,4,0.666666666667,0
N,C,M,P,0,0,0,0,0,1,años,0,0.0,5,0.833333333333,4
R,G,0,0,0,0,0,0,1,0,Ayer,12,0.923076923077,0,0.0,2
V,M,I,S,1,S,0,0,0,0,leí,11,0.846153846154,1,0.0769230769231,0
D,A,0,F,S,0,0,0,0,0,la,10,0.769230769231,2,0.153846153846,0
N,C,F,S,0,0,0,0,0,0,novela,9,0.692307692308,3,0.230769230769,1
S,P,S,0,0,0,0,0,0,0,en,8,0.615384615385,4,0.307692307692,0
D,A,0,M,S,0,0,0,0,0,el,7,0.538461538462,5,0.384615384615,1
N,C,M,S,0,0,0,0,0,0,patio,6,0.461538461538,6,0.461538461538,4
R,G,0,0,0,0,0,0,0,0,hoy,5,0.384615384615,7,0.538461538462,1
P,P,3,C,N,A,0,0,0,0,lo,4,0.307692307692,8,0.615384615385,0
V,M,I,S,1,S,0,0,0,0,hice,3,0.230769230769,9,0.692307692308,0
S,P,S,0,0,0,0,0,0,0,a,2,0.153846153846,10,0.769230769231,1
A,Q,0,M,S,0,0,0,0,0,pleno,1,0.0769230769231,11,0.846153846154,0
N,C,M,S,0,0,0,0,0,1,sol,0,0.0,12,0.923076923077,4
S,P,S,0,0,0,0,0,1,0,A,6,0.857142857143,0,0.0,0
V,M,N,0,0,0,0,0,0,0,decir,5,0.714285714286,1,0.142857142857,1
N,C,F,S,0,0,0,0,0,0,verdad,4,0.571428571429,2,0.285714285714,4
P,P,3,F,P,0,0,0,0,0,ellas,3,0.428571428571,3,0.428571428571,2
R,N,0,0,0,0,0,0,0,0,no,2,0.285714285714,4,0.571428571429,1
P,0,0,0,0,0,0,0,0,0,se,1,0.142857142857,5,0.714285714286,0
V,M,I,P,3,P,0,0,0,1,adaptan,0,0.0,6,0.857142857143,4
S,P,S,0,0,0,0,0,1,0,A,7,0.875,0,0.0,1
N,C,F,P,0,0,0,0,0,0,veces,6,0.75,1,0.125,2
D,A,0,M,P,0,0,0,0,0,los,5,0.625,2,0.25,1
N,C,M,P,0,0,0,0,0,0,ladrones,4,0.5,3,0.375,2
P,0,0,0,0,0,0,0,0,0,se,3,0.375,4,0.5,1
V,M,I,P,3,P,0,0,0,0,disfrazan,2,0.25,5,0.625,2
S,P,S,0,0,0,0,0,0,0,para,1,0.125,6,0.75,1
V,M,N,0,0,0,0,0,0,1,robar,0,0.0,7,0.875,4
R,G,0,0,0,0,0,0,1,0,Además,6,0.857142857143,0,0.0,3
V,M,I,S,3,S,0,0,0,0,confirmó,5,0.714285714286,1,0.142857142857,0
D,A,0,N,S,0,0,0,0,0,lo,4,0.571428571429,2,0.285714285714,0
P,R,0,C,N,0,0,0,0,0,que,3,0.428571428571,3,0.428571428571,0
V,M,I,I,3,P,0,0,0,0,predecían,2,0.285714285714,4,0.571428571429,2
D,A,0,F,P,0,0,0,0,0,las,1,0.142857142857,5,0.714285714286,1
N,C,F,P,0,0,0,0,0,1,matemáticas,0,0.0,6,0.857142857143,4
N,P,0,0,0,0,0,0,1,0,Bernasconi,1,0.5,0,0.0,4
A,Q,0,M,S,0,0,0,0,1,prófugo,0,0.0,1,0.5,4
N,P,0,0,0,0,0,0,1,0,Bruno,9,0.9,0,0.0,3
V,M,I,S,3,S,0,0,0,0,sentó,8,0.8,1,0.1,1
D,P,3,C,P,0,0,0,0,0,sus,7,0.7,2,0.2,1
A,Q,0,C,P,0,0,0,0,0,reales,6,0.6,3,0.3,4
S,P,S,0,0,0,0,0,0,0,sobre,5,0.5,4,0.4,0
D,A,0,F,S,0,0,0,0,0,la,4,0.4,5,0.5,0
N,C,C,S,0,0,0,0,0,0,margen,3,0.3,6,0.6,0
A,Q,0,C,S,0,0,0,0,0,oriental,2,0.2,7,0.7,2
S,P,S,0,0,0,0,0,0,0,del,1,0.1,8,0.8,2
N,C,M,S,0,0,0,0,0,1,río,0,0.0,9,0.9,4
D,I,0,C,S,0,0,0,1,0,Cada,8,0.888888888889,0,0.0,1
N,C,M,S,0,0,0,0,0,0,camión,7,0.777777777778,1,0.111111111111,2
N,C,F,S,0,0,0,0,0,0,carga,6,0.666666666667,2,0.222222222222,0
S,P,S,0,0,0,0,0,0,0,entre,5,0.555555555556,3,0.333333333333,1
Z,0,0,0,0,0,0,0,0,0,quince,4,0.444444444444,4,0.444444444444,0
C,C,0,0,0,0,0,0,0,0,y,3,0.333333333333,5,0.555555555556,1
Z,m,0,0,0,0,0,0,0,0,veinte,2,0.222222222222,6,0.666666666667,1
Z,m,0,0,0,0,0,0,0,0,mil,1,0.111111111111,7,0.777777777778,2
Z,m,0,0,0,0,0,0,0,1,pesos,0,0.0,8,0.888888888889,4
D,I,0,C,S,0,0,0,1,0,Cada,6,0.857142857143,0,0.0,0
N,C,C,S,0,0,0,0,0,0,especialista,5,0.714285714286,1,0.142857142857,4
V,M,I,P,3,S,0,0,0,0,aprende,4,0.571428571429,2,0.285714285714,0
S,P,S,0,0,0,0,0,0,0,a,3,0.428571428571,3,0.428571428571,1
V,M,N,0,0,0,0,0,0,0,trabajar,2,0.285714285714,4,0.571428571429,0
S,P,S,0,0,0,0,0,0,0,en,1,0.142857142857,5,0.714285714286,0
N,C,M,S,0,0,0,0,0,1,equipo,0,0.0,6,0.857142857143,4
N,P,0,0,0,0,0,0,1,0,Calor,6,0.857142857143,0,0.0,0
C,C,0,0,0,0,0,0,0,0,y,5,0.714285714286,1,0.142857142857,0
N,C,M,S,0,0,0,0,0,0,sol,4,0.571428571429,2,0.285714285714,4
V,M,I,F,3,P,0,0,0,0,contrastarán,3,0.428571428571,3,0.428571428571,2
S,P,S,0,0,0,0,0,0,0,con,2,0.285714285714,4,0.571428571429,1
N,C,M,S,0,0,0,0,0,0,tiempo,1,0.142857142857,5,0.714285714286,1
A,Q,0,M,S,0,0,0,0,1,fresco,0,0.0,6,0.857142857143,4
N,P,0,0,0,0,0,0,1,0,Chinchudo,5,0.833333333333,0,0.0,4
V,M,I,S,3,S,0,0,0,0,pegó,4,0.666666666667,1,0.166666666667,0
A,Q,0,F,P,0,0,0,0,0,amplias,3,0.5,2,0.333333333333,2
N,C,F,P,0,0,0,0,0,0,trompadas,2,0.333333333333,3,0.5,0
S,P,S,0,0,0,0,0,0,0,al,1,0.166666666667,4,0.666666666667,0
N,C,M,S,0,0,0,0,0,1,aire,0,0.0,5,0.833333333333,4
N,C,M,P,0,0,0,0,1,0,Cientos,6,0.857142857143,0,0.0,2
S,P,S,0,0,0,0,0,0,0,de,5,0.714285714286,1,0.142857142857,0
N,C,M,P,0,0,0,0,0,0,edificios,4,0.571428571429,2,0.285714285714,4
P,0,0,0,0,0,0,0,0,0,se,3,0.428571428571,3,0.428571428571,0
V,M,I,F,3,P,0,0,0,0,reducirán,2,0.285714285714,4,0.571428571429,0
S,P,S,0,0,0,0,0,0,0,a,1,0.142857142857,5,0.714285714286,0
N,C,M,P,0,0,0,0,0,1,escombros,0,0.0,6,0.857142857143,4
V,M,I,P,3,S,0,0,1,0,Contagia,3,0.75,0,0.0,3
N,C,F,S,0,0,0,0,0,0,energía,2,0.5,1,0.25,0
C,C,0,0,0,0,0,0,0,0,y,1,0.25,2,0.5,1
N,C,M,S,0,0,0,0,0,1,fervor,0,0.0,3,0.75,4
C,S,0,0,0,0,0,0,1,0,Cuando,8,0.888888888889,0,0.0,1
V,M,I,P,3,S,0,0,0,0,sopla,7,0.777777777778,1,0.111111111111,1
N,C,M,S,0,0,0,0,0,0,viento,6,0.666666666667,2,0.222222222222,1
N,C,M,S,0,0,0,0,0,0,norte,5,0.555555555556,3,0.333333333333,4
D,A,0,F,P,0,0,0,0,0,las,4,0.444444444444,4,0.444444444444,1
N,C,F,P,0,0,0,0,0,0,personas,3,0.333333333333,5,0.555555555556,4
V,M,I,P,3,P,0,0,0,0,cambian,2,0.222222222222,6,0.666666666667,1
D,P,3,C,S,0,0,0,0,0,su,1,0.111111111111,7,0.777777777778,1
N,C,M,S,0,0,0,0,0,1,comportamiento,0,0.0,8,0.888888888889,4
S,P,S,0,0,0,0,0,1,0,De,9,0.9,0,0.0,1
N,C,M,S,0,0,0,0,0,0,día,8,0.8,1,0.1,1
C,C,0,0,0,0,0,0,0,0,o,7,0.7,2,0.2,1
S,P,S,0,0,0,0,0,0,0,de,6,0.6,3,0.3,1
N,C,F,S,0,0,0,0,0,0,noche,5,0.5,4,0.4,4
V,M,N,0,0,0,0,0,0,0,desandar,4,0.4,5,0.5,1
N,P,0,0,0,0,0,0,0,0,Sarandí,3,0.3,6,0.6,4
V,S,I,P,3,S,0,0,0,0,es,2,0.2,7,0.7,1
D,I,0,M,S,0,0,0,0,0,un,1,0.1,8,0.8,1
N,C,M,S,0,0,0,0,0,1,placer,0,0.0,9,0.9,4
V,M,I,P,3,P,0,0,1,0,Desbordan,5,0.833333333333,0,0.0,3
D,A,0,F,P,0,0,0,0,0,las,4,0.666666666667,1,0.166666666667,1
